# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid

1000, 47.0, 47.0, 6.0, 0.0
2000, 43.0, 55.0, 2.0, 0.0
3000, 54.0, 41.0, 5.0, 0.0
4000, 53.0, 47.0, 0.0, 0.0
5000, 48.0, 50.0, 2.0, 0.0
6000, 48.0, 50.0, 2.0, 0.0
7000, 49.0, 49.0, 2.0, 0.0
8000, 52.0, 46.0, 2.0, 0.0
9000, 52.0, 47.0, 1.0, 0.0
10000, 48.0, 49.0, 3.0, 0.0
11000, 61.0, 38.0, 1.0, 0.0
12000, 44.0, 53.0, 3.0, 0.0
13000, 46.0, 53.0, 1.0, 0.0
14000, 53.0, 46.0, 1.0, 0.0
15000, 51.0, 47.0, 2.0, 0.0
16000, 45.0, 53.0, 2.0, 0.0
17000, 51.0, 48.0, 1.0, 0.0
18000, 46.0, 53.0, 1.0, 0.0
19000, 48.0, 49.0, 3.0, 0.0
20000, 52.0, 46.0, 2.0, 0.0
21000, 46.0, 52.0, 2.0, 0.0
22000, 44.0, 55.0, 1.0, 0.0
23000, 53.0, 46.0, 1.0, 0.0
24000, 49.0, 48.0, 3.0, 0.0
25000, 47.0, 52.0, 1.0, 0.0
26000, 54.0, 44.0, 2.0, 0.0
27000, 59.0, 40.0, 1.0, 0.0
28000, 54.0, 44.0, 2.0, 0.0
29000, 47.0, 49.0, 4.0, 0.0
30000, 54.0, 44.0, 2.0, 0.0
31000, 63.0, 36.0, 1.0, 0.0
32000, 49.0, 50.0, 1.0, 0.0
33000, 44.0, 51.0, 5.0, 0.0
34000, 48.0, 50.0, 2.0, 0.0
35000, 54.0, 42.0, 4.0, 0.0
36000, 48.0, 51.0, 1.0, 0.0
37000, 47.0, 52.0, 1.0, 0.0
38000, 48.0, 50.0, 2.0, 0.0
39000, 56.0, 44.0, 0.0, 0.0
40000, 52.0, 46.0, 2.0, 0.0
41000, 59.0, 41.0, 0.0, 0.0
42000, 52.0, 47.0, 1.0, 0.0
43000, 59.0, 39.0, 2.0, 0.0
44000, 53.0, 45.0, 2.0, 0.0
45000, 50.0, 48.0, 2.0, 0.0
46000, 52.0, 44.0, 4.0, 0.0
47000, 46.0, 51.0, 3.0, 0.0
48000, 50.0, 50.0, 0.0, 0.0
49000, 56.0, 43.0, 1.0, 0.0
50000, 55.0, 43.0, 2.0, 0.0
51000, 60.0, 38.0, 2.0, 0.0
52000, 57.0, 40.0, 3.0, 0.0
53000, 50.0, 48.0, 2.0, 0.0
54000, 51.0, 48.0, 1.0, 0.0
55000, 50.0, 47.0, 3.0, 0.0
56000, 45.0, 51.0, 4.0, 0.0
57000, 49.0, 47.0, 4.0, 0.0
58000, 59.0, 41.0, 0.0, 0.0
59000, 50.0, 47.0, 3.0, 0.0
60000, 52.0, 43.0, 5.0, 0.0
61000, 54.0, 46.0, 0.0, 0.0
62000, 53.0, 45.0, 2.0, 0.0
63000, 58.0, 42.0, 0.0, 0.0
64000, 57.0, 43.0, 0.0, 0.0
65000, 53.0, 46.0, 1.0, 0.0
66000, 54.0, 42.0, 4.0, 0.0
67000, 59.0, 40.0, 1.0, 0.0
68000, 47.0, 50.0, 3.0, 0.0
69000, 54.0, 41.0, 5.0, 0.0
70000, 62.0, 35.0, 3.0, 0.0
71000, 57.0, 42.0, 1.0, 0.0
72000, 51.0, 47.0, 2.0, 0.0
73000, 59.0, 40.0, 1.0, 0.0
