# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid

33500001, 69.0, 30.0, 1.0, 0.0
33501001, 67.0, 33.0, 0.0, 0.0
33502001, 78.0, 19.0, 3.0, 0.0
33503001, 71.0, 29.0, 0.0, 0.0
33504001, 77.0, 21.0, 2.0, 0.0
33505001, 87.0, 12.0, 1.0, 0.0
33506001, 70.0, 29.0, 1.0, 0.0
33507001, 72.0, 28.0, 0.0, 0.0
33508001, 70.0, 29.0, 1.0, 0.0
33509001, 77.0, 23.0, 0.0, 0.0
33510001, 75.0, 24.0, 1.0, 0.0
33511001, 82.0, 17.0, 1.0, 0.0
33512001, 70.0, 29.0, 1.0, 0.0
33513001, 74.0, 26.0, 0.0, 0.0
33514001, 76.0, 23.0, 1.0, 0.0
33515001, 73.0, 27.0, 0.0, 0.0
33516001, 80.0, 19.0, 1.0, 0.0
33517001, 75.0, 25.0, 0.0, 0.0
33518001, 75.0, 25.0, 0.0, 0.0
33519001, 77.0, 21.0, 2.0, 0.0
33520001, 71.0, 27.0, 2.0, 0.0
33521001, 78.0, 22.0, 0.0, 0.0
33522001, 75.0, 25.0, 0.0, 0.0
33523001, 81.0, 19.0, 0.0, 0.0
33524001, 74.0, 26.0, 0.0, 0.0
33525001, 69.0, 30.0, 1.0, 0.0
33526001, 75.0, 24.0, 1.0, 0.0
33527001, 73.0, 27.0, 0.0, 0.0
33528001, 66.0, 34.0, 0.0, 0.0
33529001, 71.0, 28.0, 1.0, 0.0
33530001, 70.0, 30.0, 0.0, 0.0
33531001, 70.0, 30.0, 0.0, 0.0
33532001, 77.0, 23.0, 0.0, 0.0
33533001, 77.0, 23.0, 0.0, 0.0
33534001, 79.0, 21.0, 0.0, 0.0
33535001, 67.0, 31.0, 2.0, 0.0
33536001, 71.0, 28.0, 1.0, 0.0
33537001, 76.0, 24.0, 0.0, 0.0
33538001, 73.0, 27.0, 0.0, 0.0
33539001, 70.0, 28.0, 2.0, 0.0
33540001, 78.0, 22.0, 0.0, 0.0
33541001, 77.0, 22.0, 1.0, 0.0
33542001, 74.0, 26.0, 0.0, 0.0
33543001, 84.0, 16.0, 0.0, 0.0
33544001, 72.0, 27.0, 1.0, 0.0
33545001, 76.0, 24.0, 0.0, 0.0
33546001, 76.0, 24.0, 0.0, 0.0
33547001, 75.0, 24.0, 1.0, 0.0
33548001, 70.0, 29.0, 1.0, 0.0
33549001, 74.0, 26.0, 0.0, 0.0
33550001, 72.0, 27.0, 1.0, 0.0
33551001, 76.0, 24.0, 0.0, 0.0
33552001, 73.0, 27.0, 0.0, 0.0
33553001, 72.0, 27.0, 1.0, 0.0
33554001, 79.0, 20.0, 1.0, 0.0
33555001, 75.0, 24.0, 1.0, 0.0
33556001, 69.0, 30.0, 1.0, 0.0
33557001, 79.0, 21.0, 0.0, 0.0
33558001, 76.0, 23.0, 1.0, 0.0
33559001, 74.0, 26.0, 0.0, 0.0
33560001, 76.0, 24.0, 0.0, 0.0
33561001, 78.0, 22.0, 0.0, 0.0
33562001, 73.0, 27.0, 0.0, 0.0
33563001, 71.0, 29.0, 0.0, 0.0
33564001, 75.0, 24.0, 1.0, 0.0
33565001, 72.0, 28.0, 0.0, 0.0
33566001, 75.0, 25.0, 0.0, 0.0
33567001, 75.0, 24.0, 1.0, 0.0
33568001, 67.0, 32.0, 1.0, 0.0
33569001, 74.0, 25.0, 1.0, 0.0
33570001, 72.0, 28.0, 0.0, 0.0
33571001, 83.0, 16.0, 1.0, 0.0
33572001, 75.0, 24.0, 1.0, 0.0
33573001, 75.0, 24.0, 1.0, 0.0
33574001, 72.0, 26.0, 2.0, 0.0
33575001, 81.0, 17.0, 2.0, 0.0
33576001, 76.0, 23.0, 1.0, 0.0
33577001, 70.0, 30.0, 0.0, 0.0
33578001, 68.0, 30.0, 2.0, 0.0
33579001, 71.0, 29.0, 0.0, 0.0
33580001, 77.0, 23.0, 0.0, 0.0
33581001, 74.0, 25.0, 1.0, 0.0
33582001, 75.0, 25.0, 0.0, 0.0
33583001, 75.0, 24.0, 1.0, 0.0
33584001, 77.0, 23.0, 0.0, 0.0
33585001, 81.0, 19.0, 0.0, 0.0
33586001, 61.0, 39.0, 0.0, 0.0
33587001, 68.0, 29.0, 3.0, 0.0
33588001, 73.0, 26.0, 1.0, 0.0
33589001, 66.0, 33.0, 1.0, 0.0
33590001, 74.0, 25.0, 1.0, 0.0
33591001, 78.0, 21.0, 1.0, 0.0
33592001, 76.0, 23.0, 1.0, 0.0
33593001, 70.0, 30.0, 0.0, 0.0
33594001, 77.0, 21.0, 2.0, 0.0
33595001, 70.0, 29.0, 1.0, 0.0
33596001, 68.0, 29.0, 3.0, 0.0
33597001, 72.0, 27.0, 1.0, 0.0
33598001, 76.0, 23.0, 1.0, 0.0
33599001, 78.0, 21.0, 1.0, 0.0
33600001, 71.0, 28.0, 1.0, 0.0
33601001, 65.0, 33.0, 2.0, 0.0
33602001, 76.0, 23.0, 1.0, 0.0
33603001, 69.0, 28.0, 3.0, 0.0
33604001, 72.0, 28.0, 0.0, 0.0
33605001, 79.0, 20.0, 1.0, 0.0
33606001, 77.0, 21.0, 2.0, 0.0
33607001, 71.0, 28.0, 1.0, 0.0
33608001, 73.0, 27.0, 0.0, 0.0
33609001, 79.0, 21.0, 0.0, 0.0
33610001, 75.0, 25.0, 0.0, 0.0
33611001, 74.0, 26.0, 0.0, 0.0
33612001, 78.0, 21.0, 1.0, 0.0
33613001, 76.0, 24.0, 0.0, 0.0
33614001, 74.0, 26.0, 0.0, 0.0
33615001, 77.0, 23.0, 0.0, 0.0
33616001, 83.0, 16.0, 1.0, 0.0
33617001, 72.0, 28.0, 0.0, 0.0
33618001, 70.0, 28.0, 2.0, 0.0
33619001, 75.0, 24.0, 1.0, 0.0
33620001, 72.0, 28.0, 0.0, 0.0
33621001, 76.0, 22.0, 2.0, 0.0
33622001, 74.0, 26.0, 0.0, 0.0
33623001, 75.0, 25.0, 0.0, 0.0
33624001, 75.0, 21.0, 4.0, 0.0
33625001, 73.0, 26.0, 1.0, 0.0
33626001, 73.0, 27.0, 0.0, 0.0
33627001, 65.0, 34.0, 1.0, 0.0
33628001, 76.0, 24.0, 0.0, 0.0
33629001, 78.0, 21.0, 1.0, 0.0
33630001, 75.0, 25.0, 0.0, 0.0
33631001, 74.0, 25.0, 1.0, 0.0
33632001, 75.0, 25.0, 0.0, 0.0
33633001, 72.0, 28.0, 0.0, 0.0
33634001, 72.0, 25.0, 3.0, 0.0
33635001, 73.0, 26.0, 1.0, 0.0
33636001, 76.0, 24.0, 0.0, 0.0
33637001, 69.0, 29.0, 2.0, 0.0
33638001, 83.0, 17.0, 0.0, 0.0
33639001, 82.0, 18.0, 0.0, 0.0
33640001, 79.0, 18.0, 3.0, 0.0
33641001, 60.0, 39.0, 1.0, 0.0
33642001, 76.0, 22.0, 2.0, 0.0
33643001, 80.0, 19.0, 1.0, 0.0
33644001, 69.0, 30.0, 1.0, 0.0
33645001, 69.0, 31.0, 0.0, 0.0
33646001, 74.0, 26.0, 0.0, 0.0
33647001, 74.0, 25.0, 1.0, 0.0
33648001, 72.0, 28.0, 0.0, 0.0
33649001, 77.0, 22.0, 1.0, 0.0
33650001, 70.0, 29.0, 1.0, 0.0
33651001, 74.0, 26.0, 0.0, 0.0
33652001, 79.0, 21.0, 0.0, 0.0
33653001, 70.0, 29.0, 1.0, 0.0
33654001, 72.0, 28.0, 0.0, 0.0
33655001, 73.0, 27.0, 0.0, 0.0
33656001, 67.0, 31.0, 2.0, 0.0
33657001, 74.0, 25.0, 1.0, 0.0
33658001, 65.0, 35.0, 0.0, 0.0
33659001, 70.0, 29.0, 1.0, 0.0
33660001, 75.0, 25.0, 0.0, 0.0
33661001, 68.0, 31.0, 1.0, 0.0
33662001, 75.0, 24.0, 1.0, 0.0
33663001, 61.0, 39.0, 0.0, 0.0
33664001, 82.0, 17.0, 1.0, 0.0
33665001, 71.0, 29.0, 0.0, 0.0
33666001, 77.0, 23.0, 0.0, 0.0
33667001, 81.0, 18.0, 1.0, 0.0
33668001, 66.0, 31.0, 3.0, 0.0
33669001, 79.0, 21.0, 0.0, 0.0
33670001, 71.0, 28.0, 1.0, 0.0
33671001, 68.0, 31.0, 1.0, 0.0
33672001, 73.0, 26.0, 1.0, 0.0
33673001, 71.0, 29.0, 0.0, 0.0
33674001, 72.0, 27.0, 1.0, 0.0
33675001, 74.0, 25.0, 1.0, 0.0
33676001, 76.0, 24.0, 0.0, 0.0
33677001, 75.0, 25.0, 0.0, 0.0
33678001, 70.0, 30.0, 0.0, 0.0
33679001, 69.0, 29.0, 2.0, 0.0
33680001, 75.0, 24.0, 1.0, 0.0
33681001, 67.0, 32.0, 1.0, 0.0
33682001, 78.0, 20.0, 2.0, 0.0
33683001, 73.0, 25.0, 2.0, 0.0
33684001, 74.0, 25.0, 1.0, 0.0
33685001, 74.0, 26.0, 0.0, 0.0
33686001, 67.0, 32.0, 1.0, 0.0
33687001, 69.0, 29.0, 2.0, 0.0
33688001, 74.0, 24.0, 2.0, 0.0
33689001, 74.0, 26.0, 0.0, 0.0
33690001, 73.0, 27.0, 0.0, 0.0
33691001, 74.0, 26.0, 0.0, 0.0
33692001, 77.0, 21.0, 2.0, 0.0
33693001, 70.0, 30.0, 0.0, 0.0
33694001, 71.0, 29.0, 0.0, 0.0
33695001, 70.0, 30.0, 0.0, 0.0
33696001, 76.0, 21.0, 3.0, 0.0
33697001, 72.0, 27.0, 1.0, 0.0
33698001, 73.0, 25.0, 2.0, 0.0
33699001, 70.0, 28.0, 2.0, 0.0
33700001, 78.0, 21.0, 1.0, 0.0
33701001, 75.0, 24.0, 1.0, 0.0
33702001, 70.0, 30.0, 0.0, 0.0
33703001, 67.0, 32.0, 1.0, 0.0
33704001, 74.0, 26.0, 0.0, 0.0
33705001, 75.0, 24.0, 1.0, 0.0
33706001, 72.0, 28.0, 0.0, 0.0
33707001, 78.0, 22.0, 0.0, 0.0
33708001, 72.0, 27.0, 1.0, 0.0
33709001, 75.0, 23.0, 2.0, 0.0
33710001, 75.0, 24.0, 1.0, 0.0
33711001, 68.0, 28.0, 4.0, 0.0
33712001, 76.0, 24.0, 0.0, 0.0
33713001, 68.0, 31.0, 1.0, 0.0
33714001, 72.0, 27.0, 1.0, 0.0
33715001, 73.0, 27.0, 0.0, 0.0
33716001, 71.0, 29.0, 0.0, 0.0
33717001, 65.0, 35.0, 0.0, 0.0
33718001, 80.0, 20.0, 0.0, 0.0
33719001, 74.0, 24.0, 2.0, 0.0
33720001, 74.0, 26.0, 0.0, 0.0
33721001, 66.0, 34.0, 0.0, 0.0
33722001, 70.0, 30.0, 0.0, 0.0
33723001, 70.0, 30.0, 0.0, 0.0
33724001, 77.0, 21.0, 2.0, 0.0
