# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid
102132705, 98.0, 2.0, 0.0, 0.0
102133705, 99.0, 1.0, 0.0, 0.0
102134705, 99.0, 1.0, 0.0, 0.0
102135705, 97.0, 3.0, 0.0, 0.0
102136705, 98.0, 2.0, 0.0, 0.0
102137705, 98.0, 2.0, 0.0, 0.0
102138705, 99.0, 1.0, 0.0, 0.0
102139705, 98.0, 2.0, 0.0, 0.0
102140705, 98.0, 2.0, 0.0, 0.0
102141705, 100.0, 0.0, 0.0, 0.0
102142705, 100.0, 0.0, 0.0, 0.0
102143705, 100.0, 0.0, 0.0, 0.0
102144705, 100.0, 0.0, 0.0, 0.0
102145705, 98.0, 2.0, 0.0, 0.0
102146705, 100.0, 0.0, 0.0, 0.0
102147705, 99.0, 1.0, 0.0, 0.0
102148705, 95.0, 5.0, 0.0, 0.0
102149705, 95.0, 5.0, 0.0, 0.0
102150705, 97.0, 3.0, 0.0, 0.0
102151705, 100.0, 0.0, 0.0, 0.0
102152705, 96.0, 4.0, 0.0, 0.0
102153705, 99.0, 1.0, 0.0, 0.0
102154705, 100.0, 0.0, 0.0, 0.0
102155705, 96.0, 4.0, 0.0, 0.0
102156705, 99.0, 1.0, 0.0, 0.0
102157705, 97.0, 3.0, 0.0, 0.0
102158705, 99.0, 1.0, 0.0, 0.0
102159705, 97.0, 3.0, 0.0, 0.0
102160705, 97.0, 3.0, 0.0, 0.0
102161705, 99.0, 1.0, 0.0, 0.0
102162705, 99.0, 1.0, 0.0, 0.0
102163705, 99.0, 1.0, 0.0, 0.0
102164705, 100.0, 0.0, 0.0, 0.0
102165705, 100.0, 0.0, 0.0, 0.0
102166705, 98.0, 2.0, 0.0, 0.0
102167705, 97.0, 3.0, 0.0, 0.0
102168705, 98.0, 2.0, 0.0, 0.0
102169705, 97.0, 3.0, 0.0, 0.0
102170705, 96.0, 4.0, 0.0, 0.0
102171705, 97.0, 3.0, 0.0, 0.0
102172705, 97.0, 3.0, 0.0, 0.0
102173705, 97.0, 3.0, 0.0, 0.0
102174705, 99.0, 1.0, 0.0, 0.0
102175705, 99.0, 1.0, 0.0, 0.0
102176705, 97.0, 3.0, 0.0, 0.0
102177705, 99.0, 1.0, 0.0, 0.0
102178705, 99.0, 1.0, 0.0, 0.0
102179705, 99.0, 1.0, 0.0, 0.0
102180705, 100.0, 0.0, 0.0, 0.0
102181705, 99.0, 1.0, 0.0, 0.0
102182705, 98.0, 2.0, 0.0, 0.0
102183705, 100.0, 0.0, 0.0, 0.0
102184705, 98.0, 2.0, 0.0, 0.0
102185705, 98.0, 2.0, 0.0, 0.0
102186705, 100.0, 0.0, 0.0, 0.0
102187705, 91.0, 9.0, 0.0, 0.0
102188705, 98.0, 2.0, 0.0, 0.0
102189705, 97.0, 3.0, 0.0, 0.0
102190705, 97.0, 3.0, 0.0, 0.0
102191705, 99.0, 1.0, 0.0, 0.0
102192705, 99.0, 1.0, 0.0, 0.0
102193705, 99.0, 1.0, 0.0, 0.0
102194705, 100.0, 0.0, 0.0, 0.0
102195705, 98.0, 2.0, 0.0, 0.0
102196705, 98.0, 2.0, 0.0, 0.0
102197705, 99.0, 1.0, 0.0, 0.0
102198705, 98.0, 2.0, 0.0, 0.0
102199705, 100.0, 0.0, 0.0, 0.0
102200705, 99.0, 1.0, 0.0, 0.0
102201705, 98.0, 2.0, 0.0, 0.0
102202705, 100.0, 0.0, 0.0, 0.0
102203705, 98.0, 2.0, 0.0, 0.0
102204705, 99.0, 1.0, 0.0, 0.0
102205705, 97.0, 3.0, 0.0, 0.0
102206705, 98.0, 2.0, 0.0, 0.0
102207705, 99.0, 1.0, 0.0, 0.0
102208705, 94.0, 6.0, 0.0, 0.0
102209705, 97.0, 3.0, 0.0, 0.0
102210705, 99.0, 1.0, 0.0, 0.0
102211705, 98.0, 2.0, 0.0, 0.0
102212705, 95.0, 5.0, 0.0, 0.0
102213705, 99.0, 1.0, 0.0, 0.0
102214705, 98.0, 2.0, 0.0, 0.0
102215705, 96.0, 4.0, 0.0, 0.0
102216705, 99.0, 1.0, 0.0, 0.0
102217705, 99.0, 1.0, 0.0, 0.0
102218705, 99.0, 1.0, 0.0, 0.0
102219705, 97.0, 3.0, 0.0, 0.0
102220705, 99.0, 1.0, 0.0, 0.0
102221705, 98.0, 2.0, 0.0, 0.0
102222705, 98.0, 2.0, 0.0, 0.0
102223705, 98.0, 2.0, 0.0, 0.0
102224705, 99.0, 1.0, 0.0, 0.0
102225705, 99.0, 1.0, 0.0, 0.0
102226705, 98.0, 2.0, 0.0, 0.0
