# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid

138000, 57.0, 40.0, 3.0, 0.0
139000, 58.0, 42.0, 0.0, 0.0
140000, 67.0, 29.0, 4.0, 0.0
141000, 56.0, 42.0, 2.0, 0.0
142000, 56.0, 42.0, 2.0, 0.0
143000, 49.0, 50.0, 1.0, 0.0
144000, 57.0, 42.0, 1.0, 0.0
145000, 55.0, 44.0, 1.0, 0.0
146000, 54.0, 43.0, 3.0, 0.0
147000, 59.0, 40.0, 1.0, 0.0
148000, 55.0, 43.0, 2.0, 0.0
149000, 50.0, 48.0, 2.0, 0.0
150000, 58.0, 41.0, 1.0, 0.0
151000, 59.0, 39.0, 2.0, 0.0
152000, 52.0, 46.0, 2.0, 0.0
153000, 54.0, 44.0, 2.0, 0.0
154000, 50.0, 49.0, 1.0, 0.0
155000, 58.0, 38.0, 4.0, 0.0
156000, 55.0, 44.0, 1.0, 0.0
157000, 66.0, 33.0, 1.0, 0.0
158000, 54.0, 41.0, 5.0, 0.0
159000, 63.0, 33.0, 4.0, 0.0
160000, 61.0, 38.0, 1.0, 0.0
161000, 59.0, 40.0, 1.0, 0.0
162000, 59.0, 39.0, 2.0, 0.0
163000, 54.0, 46.0, 0.0, 0.0
164000, 60.0, 39.0, 1.0, 0.0
165000, 64.0, 35.0, 1.0, 0.0
166000, 61.0, 38.0, 1.0, 0.0
167000, 54.0, 45.0, 1.0, 0.0
168000, 55.0, 42.0, 3.0, 0.0
169000, 61.0, 36.0, 3.0, 0.0
170000, 58.0, 39.0, 3.0, 0.0
171000, 61.0, 37.0, 2.0, 0.0
172000, 68.0, 31.0, 1.0, 0.0
173000, 54.0, 46.0, 0.0, 0.0
174000, 53.0, 45.0, 2.0, 0.0
175000, 55.0, 43.0, 2.0, 0.0
176000, 59.0, 41.0, 0.0, 0.0
177000, 55.0, 41.0, 4.0, 0.0
178000, 53.0, 46.0, 1.0, 0.0
179000, 53.0, 45.0, 2.0, 0.0
180000, 57.0, 43.0, 0.0, 0.0
181000, 54.0, 46.0, 0.0, 0.0
182000, 53.0, 45.0, 2.0, 0.0
183000, 58.0, 40.0, 2.0, 0.0
184000, 53.0, 44.0, 3.0, 0.0
185000, 53.0, 45.0, 2.0, 0.0
186000, 58.0, 42.0, 0.0, 0.0
187000, 65.0, 33.0, 2.0, 0.0
188000, 63.0, 36.0, 1.0, 0.0
189000, 67.0, 29.0, 4.0, 0.0
190000, 59.0, 39.0, 2.0, 0.0
191000, 57.0, 42.0, 1.0, 0.0
192000, 57.0, 38.0, 5.0, 0.0
193000, 61.0, 36.0, 3.0, 0.0
194000, 59.0, 38.0, 3.0, 0.0
195000, 53.0, 47.0, 0.0, 0.0
196000, 61.0, 36.0, 3.0, 0.0
197000, 70.0, 28.0, 2.0, 0.0
198000, 57.0, 42.0, 1.0, 0.0
199000, 53.0, 45.0, 2.0, 0.0
200000, 74.0, 25.0, 1.0, 0.0
201000, 62.0, 38.0, 0.0, 0.0
202000, 61.0, 37.0, 2.0, 0.0
203000, 55.0, 43.0, 2.0, 0.0
204000, 57.0, 41.0, 2.0, 0.0
205000, 57.0, 40.0, 3.0, 0.0
206000, 62.0, 36.0, 2.0, 0.0
207000, 53.0, 46.0, 1.0, 0.0
208000, 57.0, 42.0, 1.0, 0.0
209000, 61.0, 38.0, 1.0, 0.0
210000, 55.0, 44.0, 1.0, 0.0
211000, 58.0, 41.0, 1.0, 0.0
212000, 56.0, 39.0, 5.0, 0.0
213000, 53.0, 46.0, 1.0, 0.0
214000, 61.0, 39.0, 0.0, 0.0
215000, 60.0, 39.0, 1.0, 0.0
216000, 61.0, 39.0, 0.0, 0.0
217000, 63.0, 35.0, 2.0, 0.0
218000, 55.0, 43.0, 2.0, 0.0
219000, 59.0, 40.0, 1.0, 0.0
220000, 58.0, 39.0, 3.0, 0.0
221000, 53.0, 47.0, 0.0, 0.0
222000, 64.0, 35.0, 1.0, 0.0
223000, 55.0, 45.0, 0.0, 0.0
224000, 57.0, 41.0, 2.0, 0.0
225000, 59.0, 41.0, 0.0, 0.0
226000, 55.0, 44.0, 1.0, 0.0
227000, 62.0, 34.0, 4.0, 0.0
228000, 59.0, 39.0, 2.0, 0.0
229000, 50.0, 49.0, 1.0, 0.0
230000, 63.0, 35.0, 2.0, 0.0
231000, 60.0, 38.0, 2.0, 0.0
232000, 59.0, 40.0, 1.0, 0.0
233000, 61.0, 35.0, 4.0, 0.0
234000, 51.0, 47.0, 2.0, 0.0
235000, 59.0, 40.0, 1.0, 0.0
236000, 55.0, 41.0, 4.0, 0.0
237000, 58.0, 38.0, 4.0, 0.0
238000, 62.0, 37.0, 1.0, 0.0
239000, 58.0, 41.0, 1.0, 0.0
240000, 47.0, 51.0, 2.0, 0.0
241000, 61.0, 38.0, 1.0, 0.0
242000, 55.0, 45.0, 0.0, 0.0
243000, 52.0, 47.0, 1.0, 0.0
244000, 63.0, 34.0, 3.0, 0.0
245000, 57.0, 37.0, 6.0, 0.0
246000, 60.0, 36.0, 4.0, 0.0
247000, 58.0, 39.0, 3.0, 0.0
248000, 58.0, 40.0, 2.0, 0.0
249000, 60.0, 39.0, 1.0, 0.0
250000, 58.0, 42.0, 0.0, 0.0
251000, 60.0, 39.0, 1.0, 0.0
252000, 63.0, 35.0, 2.0, 0.0
253000, 51.0, 46.0, 3.0, 0.0
254000, 47.0, 51.0, 2.0, 0.0
255000, 52.0, 46.0, 2.0, 0.0
256000, 63.0, 35.0, 2.0, 0.0
257000, 60.0, 39.0, 1.0, 0.0
258000, 57.0, 43.0, 0.0, 0.0
259000, 61.0, 36.0, 3.0, 0.0
260000, 53.0, 43.0, 4.0, 0.0
261000, 51.0, 48.0, 1.0, 0.0
262000, 57.0, 43.0, 0.0, 0.0
263000, 56.0, 44.0, 0.0, 0.0
264000, 57.0, 41.0, 2.0, 0.0
265000, 56.0, 41.0, 3.0, 0.0
