# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid

10, 60.0, 40.0, 0.0, 0.0
20, 40.0, 60.0, 0.0, 0.0
30, 80.0, 20.0, 0.0, 0.0
40, 20.0, 80.0, 0.0, 0.0
50, 40.0, 40.0, 20.0, 0.0
60, 60.0, 20.0, 20.0, 0.0
70, 60.0, 40.0, 0.0, 0.0
80, 60.0, 40.0, 0.0, 0.0
90, 40.0, 60.0, 0.0, 0.0
100, 60.0, 40.0, 0.0, 0.0
110, 20.0, 80.0, 0.0, 0.0
120, 80.0, 0.0, 20.0, 0.0
130, 60.0, 40.0, 0.0, 0.0
140, 20.0, 80.0, 0.0, 0.0
150, 60.0, 40.0, 0.0, 0.0
160, 80.0, 20.0, 0.0, 0.0
170, 20.0, 80.0, 0.0, 0.0
180, 80.0, 20.0, 0.0, 0.0
190, 60.0, 40.0, 0.0, 0.0
200, 20.0, 80.0, 0.0, 0.0
210, 40.0, 60.0, 0.0, 0.0
220, 80.0, 20.0, 0.0, 0.0
230, 40.0, 60.0, 0.0, 0.0
240, 60.0, 40.0, 0.0, 0.0
250, 40.0, 60.0, 0.0, 0.0
260, 60.0, 40.0, 0.0, 0.0
270, 20.0, 80.0, 0.0, 0.0
280, 80.0, 0.0, 20.0, 0.0
290, 60.0, 40.0, 0.0, 0.0
