# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid
1000, 47.0, 47.0, 6.0, 0.0
2000, 43.0, 55.0, 2.0, 0.0
3000, 50.0, 47.0, 3.0, 0.0
4000, 47.0, 49.0, 4.0, 0.0
5000, 49.0, 48.0, 3.0, 0.0
6000, 50.0, 49.0, 1.0, 0.0
7000, 48.0, 51.0, 1.0, 0.0
8000, 49.0, 48.0, 3.0, 0.0
9000, 53.0, 47.0, 0.0, 0.0
10000, 41.0, 56.0, 3.0, 0.0
11000, 45.0, 53.0, 2.0, 0.0
12000, 44.0, 55.0, 1.0, 0.0
13000, 43.0, 53.0, 4.0, 0.0
14000, 44.0, 51.0, 5.0, 0.0
15000, 51.0, 47.0, 2.0, 0.0
16000, 55.0, 42.0, 3.0, 0.0
17000, 49.0, 48.0, 3.0, 0.0
18000, 55.0, 44.0, 1.0, 0.0
19000, 44.0, 54.0, 2.0, 0.0
20000, 45.0, 54.0, 1.0, 0.0
21000, 47.0, 52.0, 1.0, 0.0
22000, 39.0, 58.0, 3.0, 0.0
23000, 50.0, 48.0, 2.0, 0.0
24000, 45.0, 54.0, 1.0, 0.0
25000, 52.0, 43.0, 5.0, 0.0
26000, 55.0, 43.0, 2.0, 0.0
27000, 47.0, 50.0, 3.0, 0.0
28000, 55.0, 43.0, 2.0, 0.0
29000, 43.0, 55.0, 2.0, 0.0
30000, 50.0, 47.0, 3.0, 0.0
31000, 50.0, 49.0, 1.0, 0.0
32000, 49.0, 51.0, 0.0, 0.0
33000, 54.0, 45.0, 1.0, 0.0
34000, 43.0, 56.0, 1.0, 0.0
35000, 58.0, 37.0, 5.0, 0.0
36000, 43.0, 55.0, 2.0, 0.0
37000, 46.0, 51.0, 3.0, 0.0
38000, 48.0, 48.0, 4.0, 0.0
39000, 50.0, 49.0, 1.0, 0.0
40000, 52.0, 45.0, 3.0, 0.0
41000, 50.0, 47.0, 3.0, 0.0
42000, 59.0, 37.0, 4.0, 0.0
43000, 52.0, 45.0, 3.0, 0.0
44000, 48.0, 51.0, 1.0, 0.0
45000, 45.0, 54.0, 1.0, 0.0
46000, 54.0, 45.0, 1.0, 0.0
47000, 54.0, 46.0, 0.0, 0.0
48000, 48.0, 49.0, 3.0, 0.0
49000, 45.0, 52.0, 3.0, 0.0
50000, 56.0, 42.0, 2.0, 0.0
51000, 46.0, 53.0, 1.0, 0.0
52000, 60.0, 39.0, 1.0, 0.0
53000, 46.0, 53.0, 1.0, 0.0
54000, 55.0, 41.0, 4.0, 0.0
55000, 47.0, 53.0, 0.0, 0.0
56000, 44.0, 55.0, 1.0, 0.0
57000, 51.0, 49.0, 0.0, 0.0
58000, 56.0, 44.0, 0.0, 0.0
59000, 50.0, 49.0, 1.0, 0.0
60000, 57.0, 41.0, 2.0, 0.0
61000, 47.0, 51.0, 2.0, 0.0
62000, 52.0, 47.0, 1.0, 0.0
63000, 59.0, 39.0, 2.0, 0.0
64000, 49.0, 49.0, 2.0, 0.0
65000, 52.0, 47.0, 1.0, 0.0
66000, 57.0, 40.0, 3.0, 0.0
67000, 49.0, 48.0, 3.0, 0.0
68000, 53.0, 46.0, 1.0, 0.0
69000, 49.0, 48.0, 3.0, 0.0
70000, 52.0, 45.0, 3.0, 0.0
71000, 53.0, 44.0, 3.0, 0.0
72000, 58.0, 40.0, 2.0, 0.0
73000, 48.0, 49.0, 3.0, 0.0
