# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid
4347000, 65.0, 33.0, 2.0, 0.0
4348000, 62.0, 33.0, 5.0, 0.0
4349000, 70.0, 28.0, 2.0, 0.0
4350000, 78.0, 21.0, 1.0, 0.0
4351000, 71.0, 24.0, 5.0, 0.0
4352000, 73.0, 26.0, 1.0, 0.0
4353000, 83.0, 16.0, 1.0, 0.0
4354000, 74.0, 24.0, 2.0, 0.0
4355000, 66.0, 32.0, 2.0, 0.0
4356000, 74.0, 24.0, 2.0, 0.0
4357000, 64.0, 32.0, 4.0, 0.0
4358000, 67.0, 32.0, 1.0, 0.0
4359000, 70.0, 25.0, 5.0, 0.0
4360000, 67.0, 31.0, 2.0, 0.0
4361000, 76.0, 21.0, 3.0, 0.0
4362000, 69.0, 29.0, 2.0, 0.0
4363000, 76.0, 22.0, 2.0, 0.0
4364000, 70.0, 28.0, 2.0, 0.0
4365000, 73.0, 25.0, 2.0, 0.0
4366000, 69.0, 28.0, 3.0, 0.0
4367000, 69.0, 27.0, 4.0, 0.0
4368000, 76.0, 22.0, 2.0, 0.0
4369000, 72.0, 24.0, 4.0, 0.0
4370000, 75.0, 22.0, 3.0, 0.0
4371000, 71.0, 27.0, 2.0, 0.0
4372000, 68.0, 30.0, 2.0, 0.0
4373000, 80.0, 20.0, 0.0, 0.0
4374000, 72.0, 24.0, 4.0, 0.0
4375000, 73.0, 26.0, 1.0, 0.0
4376000, 77.0, 22.0, 1.0, 0.0
4377000, 74.0, 25.0, 1.0, 0.0
4378000, 77.0, 21.0, 2.0, 0.0
4379000, 74.0, 24.0, 2.0, 0.0
4380000, 77.0, 22.0, 1.0, 0.0
4381000, 76.0, 22.0, 2.0, 0.0
4382000, 70.0, 29.0, 1.0, 0.0
4383000, 76.0, 22.0, 2.0, 0.0
4384000, 73.0, 27.0, 0.0, 0.0
4385000, 70.0, 30.0, 0.0, 0.0
4386000, 73.0, 27.0, 0.0, 0.0
4387000, 75.0, 23.0, 2.0, 0.0
4388000, 73.0, 25.0, 2.0, 0.0
4389000, 74.0, 26.0, 0.0, 0.0
4390000, 67.0, 32.0, 1.0, 0.0
4391000, 71.0, 27.0, 2.0, 0.0
4392000, 82.0, 18.0, 0.0, 0.0
4393000, 79.0, 20.0, 1.0, 0.0
4394000, 74.0, 26.0, 0.0, 0.0
4395000, 74.0, 25.0, 1.0, 0.0
4396000, 74.0, 24.0, 2.0, 0.0
4397000, 71.0, 27.0, 2.0, 0.0
4398000, 74.0, 23.0, 3.0, 0.0
4399000, 77.0, 21.0, 2.0, 0.0
4400000, 73.0, 25.0, 2.0, 0.0
4401000, 77.0, 20.0, 3.0, 0.0
4402000, 78.0, 21.0, 1.0, 0.0
4403000, 74.0, 24.0, 2.0, 0.0
4404000, 71.0, 27.0, 2.0, 0.0
4405000, 78.0, 22.0, 0.0, 0.0
4406000, 71.0, 26.0, 3.0, 0.0
4407000, 66.0, 32.0, 2.0, 0.0
4408000, 71.0, 28.0, 1.0, 0.0
4409000, 72.0, 27.0, 1.0, 0.0
4410000, 74.0, 23.0, 3.0, 0.0
4411000, 72.0, 27.0, 1.0, 0.0
4412000, 65.0, 31.0, 4.0, 0.0
4413000, 81.0, 19.0, 0.0, 0.0
4414000, 73.0, 23.0, 4.0, 0.0
4415000, 77.0, 20.0, 3.0, 0.0
4416000, 78.0, 20.0, 2.0, 0.0
4417000, 72.0, 25.0, 3.0, 0.0
4418000, 65.0, 35.0, 0.0, 0.0
4419000, 74.0, 23.0, 3.0, 0.0
4420000, 78.0, 21.0, 1.0, 0.0
4421000, 68.0, 29.0, 3.0, 0.0
4422000, 71.0, 27.0, 2.0, 0.0
4423000, 74.0, 24.0, 2.0, 0.0
4424000, 74.0, 24.0, 2.0, 0.0
4425000, 79.0, 20.0, 1.0, 0.0
4426000, 79.0, 21.0, 0.0, 0.0
4427000, 73.0, 27.0, 0.0, 0.0
4428000, 73.0, 26.0, 1.0, 0.0
4429000, 73.0, 25.0, 2.0, 0.0
4430000, 71.0, 26.0, 3.0, 0.0
4431000, 76.0, 23.0, 1.0, 0.0
4432000, 72.0, 26.0, 2.0, 0.0
4433000, 72.0, 27.0, 1.0, 0.0
4434000, 70.0, 28.0, 2.0, 0.0
4435000, 65.0, 30.0, 5.0, 0.0
4436000, 71.0, 24.0, 5.0, 0.0
4437000, 73.0, 26.0, 1.0, 0.0
4438000, 79.0, 19.0, 2.0, 0.0
4439000, 68.0, 29.0, 3.0, 0.0
4440000, 80.0, 19.0, 1.0, 0.0
4441000, 72.0, 23.0, 5.0, 0.0
4442000, 72.0, 25.0, 3.0, 0.0
4443000, 77.0, 22.0, 1.0, 0.0
4444000, 77.0, 23.0, 0.0, 0.0
4445000, 66.0, 31.0, 3.0, 0.0
4446000, 72.0, 26.0, 2.0, 0.0
4447000, 74.0, 23.0, 3.0, 0.0
4448000, 73.0, 27.0, 0.0, 0.0
4449000, 80.0, 16.0, 4.0, 0.0
4450000, 76.0, 21.0, 3.0, 0.0
4451000, 73.0, 26.0, 1.0, 0.0
4452000, 80.0, 20.0, 0.0, 0.0
4453000, 75.0, 23.0, 2.0, 0.0
4454000, 72.0, 25.0, 3.0, 0.0
4455000, 74.0, 23.0, 3.0, 0.0
4456000, 73.0, 23.0, 4.0, 0.0
4457000, 78.0, 21.0, 1.0, 0.0
4458000, 71.0, 26.0, 3.0, 0.0
