# timesteps,(%) wins,(%) losses,(%) draws,(%) invalid
1000, 47.0, 47.0, 6.0, 0.0
2000, 43.0, 55.0, 2.0, 0.0
3000, 54.0, 45.0, 1.0, 0.0
4000, 46.0, 50.0, 4.0, 0.0
5000, 44.0, 54.0, 2.0, 0.0
6000, 50.0, 47.0, 3.0, 0.0
7000, 44.0, 53.0, 3.0, 0.0
8000, 52.0, 46.0, 2.0, 0.0
9000, 55.0, 44.0, 1.0, 0.0
10000, 43.0, 55.0, 2.0, 0.0
11000, 54.0, 46.0, 0.0, 0.0
12000, 53.0, 44.0, 3.0, 0.0
13000, 52.0, 46.0, 2.0, 0.0
14000, 61.0, 37.0, 2.0, 0.0
15000, 49.0, 49.0, 2.0, 0.0
16000, 50.0, 48.0, 2.0, 0.0
17000, 47.0, 52.0, 1.0, 0.0
18000, 65.0, 35.0, 0.0, 0.0
19000, 40.0, 59.0, 1.0, 0.0
20000, 54.0, 45.0, 1.0, 0.0
21000, 38.0, 59.0, 3.0, 0.0
22000, 56.0, 43.0, 1.0, 0.0
23000, 59.0, 40.0, 1.0, 0.0
24000, 54.0, 46.0, 0.0, 0.0
25000, 47.0, 53.0, 0.0, 0.0
26000, 56.0, 42.0, 2.0, 0.0
27000, 61.0, 37.0, 2.0, 0.0
28000, 58.0, 41.0, 1.0, 0.0
29000, 52.0, 45.0, 3.0, 0.0
30000, 51.0, 47.0, 2.0, 0.0
31000, 62.0, 35.0, 3.0, 0.0
32000, 56.0, 41.0, 3.0, 0.0
33000, 56.0, 43.0, 1.0, 0.0
34000, 61.0, 36.0, 3.0, 0.0
35000, 48.0, 48.0, 4.0, 0.0
36000, 54.0, 46.0, 0.0, 0.0
37000, 51.0, 48.0, 1.0, 0.0
38000, 47.0, 50.0, 3.0, 0.0
39000, 48.0, 50.0, 2.0, 0.0
40000, 59.0, 41.0, 0.0, 0.0
41000, 58.0, 38.0, 4.0, 0.0
42000, 63.0, 35.0, 2.0, 0.0
43000, 48.0, 52.0, 0.0, 0.0
44000, 60.0, 38.0, 2.0, 0.0
45000, 61.0, 39.0, 0.0, 0.0
46000, 54.0, 46.0, 0.0, 0.0
47000, 46.0, 51.0, 3.0, 0.0
48000, 50.0, 47.0, 3.0, 0.0
49000, 52.0, 44.0, 4.0, 0.0
50000, 49.0, 49.0, 2.0, 0.0
51000, 62.0, 37.0, 1.0, 0.0
52000, 47.0, 49.0, 4.0, 0.0
53000, 52.0, 45.0, 3.0, 0.0
54000, 56.0, 44.0, 0.0, 0.0
55000, 51.0, 48.0, 1.0, 0.0
56000, 51.0, 45.0, 4.0, 0.0
57000, 54.0, 44.0, 2.0, 0.0
58000, 58.0, 38.0, 4.0, 0.0
59000, 52.0, 46.0, 2.0, 0.0
60000, 56.0, 40.0, 4.0, 0.0
61000, 60.0, 39.0, 1.0, 0.0
62000, 50.0, 46.0, 4.0, 0.0
63000, 54.0, 46.0, 0.0, 0.0
64000, 58.0, 39.0, 3.0, 0.0
65000, 72.0, 25.0, 3.0, 0.0
66000, 53.0, 45.0, 2.0, 0.0
67000, 61.0, 35.0, 4.0, 0.0
68000, 55.0, 42.0, 3.0, 0.0
69000, 52.0, 47.0, 1.0, 0.0
70000, 60.0, 38.0, 2.0, 0.0
71000, 61.0, 39.0, 0.0, 0.0
72000, 56.0, 42.0, 2.0, 0.0
73000, 60.0, 39.0, 1.0, 0.0
